timer,fight_result,is_round_over,player1_health,player1_x_coord,player1_is_jumping,player1_is_crouching,player1_buttons_up,player1_buttons_down,player1_buttons_right,player1_buttons_left
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
153,NOT_OVER,FALSE,176,205,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
